institution,code,name,department,province,district,category,longitude,latitude,business_hours,address,phone,department_code,province_code,district_code
GOBIERNO REGIONAL,137,SAN ROQUE DE MAQUIA,LORETO,REQUENA,MAQUIA,I-3,-74.59743523,-5.83218091,07:00 AM – 07:00 PM,Dirección del EESS,935397886,35,35,35
GOBIERNO REGIONAL,146,CENTRO DE SALUD I-3 BRETAÑA,LORETO,REQUENA,PUINAHUA,I-3,-74.34552947,-5.25607497,07:00 AM – 07:00 PM,Dirección del EESS,935397887,36,36,36
GOBIERNO REGIONAL,150,C.S. I-4 REQUENA,LORETO,REQUENA,REQUENA,I-4,-73.8569342,-5.06288155,07:00 AM – 07:00 PM,Dirección del EESS,935397888,37,37,37
GOBIERNO REGIONAL,161,CENTRO DE SALUD I-3 JUANCITO DE SARAYACU,LORETO,UCAYALI,SARAYACU,I-4,-74.85340813,-6.03194009,07:00 AM – 07:00 PM,Dirección del EESS,935397889,38,38,38
GOBIERNO REGIONAL,162,HOSPITAL II-I  CONTAMANA,LORETO,UCAYALI,CONTAMANA,II-1,-75.00736135,-7.34801882,07:00 AM – 07:00 PM,Dirección del EESS,935397890,39,39,39
GOBIERNO REGIONAL,171,CENTRO DE SALUD I-3 TIRUNTAN,LORETO,UCAYALI,PADRE MARQUEZ,I-3,-74.84089759,-7.94643339,07:00 AM – 07:00 PM,Dirección del EESS,935397891,40,40,40
GOBIERNO REGIONAL,176,CENTRO DE SALUD I-3 PAMPA HERMOZA DE PAMPA HERMOZA,LORETO,UCAYALI,PAMPA HERMOSA,I-3,-75.29771701,-7.2016648,07:00 AM – 07:00 PM,Dirección del EESS,935397892,41,41,41
GOBIERNO REGIONAL,182,CENTRO DE ALUD I-3 TIERRA BLANCA,LORETO,UCAYALI,SARAYACU,I-3,-75.17958948,-6.54976828,07:00 AM – 07:00 PM,Dirección del EESS,935397893,42,42,42
GOBIERNO REGIONAL,185,CENTRO DE SALUD I-3 ORELLANA,LORETO,UCAYALI,VARGAS GUERRA,I-4,-75.15865947,-6.91476797,07:00 AM – 07:00 PM,Dirección del EESS,935397894,43,43,43
GOBIERNO REGIONAL,186,C.S. I-3 SAN GABRIEL DE VARADERO,LORETO,ALTO AMAZONAS,BALSAPUERTO,I-3,-73.90534481,-4.5125192,07:00 AM – 07:00 PM,Dirección del EESS,935397895,44,44,44
GOBIERNO REGIONAL,187,C.S.  I-4 BALSAPUERTO,LORETO,ALTO AMAZONAS,BALSAPUERTO,I-4,-76.55968496,-5.8348331,07:00 AM – 07:00 PM,Dirección del EESS,935397896,45,45,45
GOBIERNO REGIONAL,191,C.S. I-3 JEBEROS,LORETO,ALTO AMAZONAS,JEBEROS,I-3,-76.28408123,-5.29104902,07:00 AM – 07:00 PM,Dirección del EESS,935397897,46,46,46
GOBIERNO REGIONAL,193,C.S. I-4 LAGUNAS,LORETO,ALTO AMAZONAS,LAGUNAS,I-4,-75.67552385,-5.22445921,07:00 AM – 07:00 PM,Dirección del EESS,935397898,47,47,47
GOBIERNO REGIONAL,202,C.S. I-3 SANTA CRUZ,LORETO,ALTO AMAZONAS,SANTA CRUZ,I-3,-75.8606824,-5.51222726,07:00 AM – 07:00 PM,Dirección del EESS,935397899,48,48,48
GOBIERNO REGIONAL,209,C.S. I-3 SHUCUSHYACU,LORETO,ALTO AMAZONAS,TENIENTE CESAR LOPEZ ROJAS,I-3,-75.87608065,-6.01626018,07:00 AM – 07:00 PM,Dirección del EESS,935397900,49,49,49
GOBIERNO REGIONAL,210,HOSPITAL SANTA GEMA DE  YURIMAGUAS,LORETO,ALTO AMAZONAS,YURIMAGUAS,II-1,-76.10645167,-5.89353,07:00 AM – 07:00 PM,Dirección del EESS,935397901,50,50,50
GOBIERNO REGIONAL,212,C.S. I-4 PAMPA HERMOZA DE YURIMAGUAS,LORETO,ALTO AMAZONAS,YURIMAGUAS,I-4,-76.26957,-6.10275,07:00 AM – 07:00 PM,Dirección del EESS,935397902,51,51,51
GOBIERNO REGIONAL,214,C.S. I-3 SANTA MARÍA,LORETO,ALTO AMAZONAS,YURIMAGUAS,I-3,-76.11411,-5.77113,07:00 AM – 07:00 PM,Dirección del EESS,935397903,52,52,52
GOBIERNO REGIONAL,222,C.S. I-3 MUNICHIS DE YURIMAGUAS,LORETO,ALTO AMAZONAS,YURIMAGUAS,I-3,-76.2308,-5.8925,07:00 AM – 07:00 PM,Dirección del EESS,935397904,53,53,53
GOBIERNO REGIONAL,232,C.S. I-3 GRAU KM.40,LORETO,ALTO AMAZONAS,YURIMAGUAS,I-3,-76.24155,-6.0727,07:00 AM – 07:00 PM,Dirección del EESS,935397905,54,54,54
GOBIERNO REGIONAL,235,C.S. I-4 SAN LORENZO,LORETO,DATEM DEL MARAÑON,BARRANCA,I-4,-76.56119833,-4.82733167,07:00 AM – 07:00 PM,Dirección del EESS,935397906,55,55,55
GOBIERNO REGIONAL,246,C.S. I-3 SARAMIRIZA,LORETO,DATEM DEL MARAÑON,MANSERICHE,I-3,-77.42026667,-4.56787667,07:00 AM – 07:00 PM,Dirección del EESS,935397907,56,56,56
GOBIERNO REGIONAL,258,NUEVO ANDOAS,LORETO,DATEM DEL MARAÑON,ANDOAS,I-4,-76.46119667,-2.80377333,07:00 AM – 07:00 PM,Dirección del EESS,935397908,57,57,57
GOBIERNO REGIONAL,268,C.S. I-3 ULLPAYACU,LORETO,DATEM DEL MARAÑON,PASTAZA,I-3,-76.58828333,-4.65086,07:00 AM – 07:00 PM,Dirección del EESS,935397909,58,58,58
GOBIERNO REGIONAL,275,ACLAS BELEN DE VILLA BELEN,LORETO,MAYNAS,BELEN,I-3,-73.24462,-3.76456,07:00 AM – 07:00 PM,Dirección del EESS,935397910,59,59,59
GOBIERNO REGIONAL,280,MANGUA DEL MAZAN,LORETO,MAYNAS,MAZAN,I-1,-72.77567216,-3.31988154,07:00 AM – 07:00 PM,Dirección del EESS,935397911,60,60,60
GOBIERNO REGIONAL,284,RUMI TUMI,LORETO,MAYNAS,NAPO,I-1,-74.43656951,-2.05350304,07:00 AM – 07:00 PM,Dirección del EESS,935397912,61,61,61
GOBIERNO REGIONAL,285,P.S. I-1 SAN RAFAEL,LORETO,MAYNAS,NAPO,I-1,-74.11151048,-2.3637788,07:00 AM – 07:00 PM,Dirección del EESS,935397913,62,62,62
GOBIERNO REGIONAL,288,SAN JOSE DE SARAMURO,LORETO,LORETO,URARINAS,I-2,-74.9290061,-4.71467454,07:00 AM – 07:00 PM,Dirección del EESS,935397914,63,63,63
GOBIERNO REGIONAL,291,SANTA ROSA DE RAMON CASTILLA,LORETO,MARISCAL RAMON CASTILLA,YAVARI,I-3,-69.95587232,-4.22660218,07:00 AM – 07:00 PM,Dirección del EESS,935397915,64,64,64
GOBIERNO REGIONAL,308,HOSPITAL REGIONAL DOCENTE DE MEDICINA TROPICAL DR. JULIO CESAR DEMARINI CARO,JUNIN,CHANCHAMAYO,CHANCHAMAYO,II-2,-75.33759,-11.07388333,07:00 AM – 07:00 PM,Dirección del EESS,935397916,65,65,65
GOBIERNO REGIONAL,314,SAN LUIS DE SHUARO,JUNIN,CHANCHAMAYO,SAN LUIS DE SHUARO,I-3,-75.288345,-10.88827,07:00 AM – 07:00 PM,Dirección del EESS,935397917,66,66,66
GOBIERNO REGIONAL,318,VILLA PERENE,JUNIN,CHANCHAMAYO,PERENE,I-4,-75.22715,-10.946735,07:00 AM – 07:00 PM,Dirección del EESS,935397918,67,67,67
GOBIERNO REGIONAL,320,PUERTO YURINAKI,JUNIN,CHANCHAMAYO,PERENE,I-3,-75.08276,-10.86827833,07:00 AM – 07:00 PM,Dirección del EESS,935397919,68,68,68
GOBIERNO REGIONAL,330,SAN FERNANDO DE KIVINAKI,JUNIN,CHANCHAMAYO,PERENE,I-3,-74.94644,-10.88015,07:00 AM – 07:00 PM,Dirección del EESS,935397920,69,69,69
GOBIERNO REGIONAL,340,HOSPITAL DE APOYO PICHANAKI,JUNIN,CHANCHAMAYO,PICHANAQUI,II-1,-74.87183837,-10.92571391,07:00 AM – 07:00 PM,Dirección del EESS,935397921,70,70,70
GOBIERNO REGIONAL,343,CENTRO CUYANI,JUNIN,CHANCHAMAYO,PICHANAQUI,I-3,-74.93988905,-10.99203258,07:00 AM – 07:00 PM,Dirección del EESS,935397922,71,71,71
GOBIERNO REGIONAL,344,LAS PALMAS,JUNIN,CHANCHAMAYO,PICHANAQUI,I-3,-74.75391229,-11.04073684,07:00 AM – 07:00 PM,Dirección del EESS,935397923,72,72,72
GOBIERNO REGIONAL,351,HUACHIRIKI,JUNIN,CHANCHAMAYO,PICHANAQUI,I-3,-74.82649965,-10.90186898,07:00 AM – 07:00 PM,Dirección del EESS,935397924,73,73,73
GOBIERNO REGIONAL,354,SAN RAMON,JUNIN,CHANCHAMAYO,SAN RAMON,I-4,-75.35392222,-11.1193113,07:00 AM – 07:00 PM,Dirección del EESS,935397925,74,74,74
GOBIERNO REGIONAL,365,HOSPITAL DOMINGO OLAVEGOYA,JUNIN,JAUJA,JAUJA,II-1,-75.4968676,-11.77722745,07:00 AM – 07:00 PM,Dirección del EESS,935397926,75,75,75
GOBIERNO REGIONAL,377,YAUYOS,JUNIN,JAUJA,YAUYOS,I-3,-75.49974833,-11.780745,07:00 AM – 07:00 PM,Dirección del EESS,935397927,76,76,76
GOBIERNO REGIONAL,379,ACOLLA,JUNIN,JAUJA,ACOLLA,I-3,-75.54313271,-11.73497566,07:00 AM – 07:00 PM,Dirección del EESS,935397928,77,77,77
GOBIERNO REGIONAL,394,MASMA,JUNIN,JAUJA,MASMA,I-3,-75.42607538,-11.78696708,07:00 AM – 07:00 PM,Dirección del EESS,935397929,78,78,78
GOBIERNO REGIONAL,404,SINCOS,JUNIN,JAUJA,SINCOS,I-3,-75.39420667,-11.88702167,07:00 AM – 07:00 PM,Dirección del EESS,935397930,79,79,79
GOBIERNO REGIONAL,406,ARAMACHAY,JUNIN,JAUJA,SINCOS,I-2,-75.41417333,-11.91626167,07:00 AM – 07:00 PM,Dirección del EESS,935397931,80,80,80
GOBIERNO REGIONAL,409,APATA,JUNIN,JAUJA,APATA,I-3,-75.35867401,-11.85450789,07:00 AM – 07:00 PM,Dirección del EESS,935397932,81,81,81
GOBIERNO REGIONAL,427,LLOCLLAPAMPA,JUNIN,JAUJA,LLOCLLAPAMPA,I-3,-75.61966996,-11.81648113,07:00 AM – 07:00 PM,Dirección del EESS,935397933,82,82,82
GOBIERNO REGIONAL,432,DE APOYO MANUEL HIGA ARAKAKI,JUNIN,SATIPO,SATIPO,II-1,-74.6386,-11.24928,07:00 AM – 07:00 PM,Dirección del EESS,935397934,83,83,83
GOBIERNO REGIONAL,434,MAZAMARI,JUNIN,SATIPO,MAZAMARI,I-4,-74.52919206,-11.32432961,07:00 AM – 07:00 PM,Dirección del EESS,935397935,84,84,84
GOBIERNO REGIONAL,438,TZIRIARI,JUNIN,SATIPO,PANGOA,I-3,-74.43207523,-11.29066764,07:00 AM – 07:00 PM,Dirección del EESS,935397936,85,85,85
GOBIERNO REGIONAL,442,SAN MARTIN DE PANGOA,JUNIN,SATIPO,PANGOA,II-1,-74.49077226,-11.42780367,07:00 AM – 07:00 PM,Dirección del EESS,935397937,86,86,86
GOBIERNO REGIONAL,443,SAN RAMON DE PANGOA,JUNIN,SATIPO,PANGOA,I-3,-74.48193093,-11.43036274,07:00 AM – 07:00 PM,Dirección del EESS,935397938,87,87,87
GOBIERNO REGIONAL,445,SAN ANTONIO DE SONOMORO,JUNIN,SATIPO,PANGOA,I-3,-74.43860448,-11.44696475,07:00 AM – 07:00 PM,Dirección del EESS,935397939,88,88,88
GOBIERNO REGIONAL,446,CUBANTIA,JUNIN,SATIPO,PANGOA,I-2,-74.4082305,-11.57839954,07:00 AM – 07:00 PM,Dirección del EESS,935397940,89,89,89
GOBIERNO REGIONAL,460,BETANIA,JUNIN,SATIPO,RIO TAMBO,I-3,-73.75060284,-11.05198391,07:00 AM – 07:00 PM,Dirección del EESS,935397941,90,90,90
GOBIERNO REGIONAL,462,POYENI,JUNIN,SATIPO,RIO TAMBO,I-3,-73.66857105,-11.25795462,07:00 AM – 07:00 PM,Dirección del EESS,935397942,91,91,91
GOBIERNO REGIONAL,469,PUERTO OCOPA,JUNIN,SATIPO,RIO TAMBO,I-3,-74.30734969,-11.14687109,07:00 AM – 07:00 PM,Dirección del EESS,935397943,92,92,92
GOBIERNO REGIONAL,473,SAN VICENTE DE CANAAN,JUNIN,SATIPO,RIO TAMBO,I-3,-74.26644211,-11.08282082,07:00 AM – 07:00 PM,Dirección del EESS,935397944,93,93,93
GOBIERNO REGIONAL,485,COVIRIALI,JUNIN,SATIPO,COVIRIALI,I-3,-74.62767412,-11.2906802,07:00 AM – 07:00 PM,Dirección del EESS,935397945,94,94,94
GOBIERNO REGIONAL,490,LLAYLLA,JUNIN,SATIPO,LLAYLLA,I-3,-74.58957123,-11.38057094,07:00 AM – 07:00 PM,Dirección del EESS,935397946,95,95,95
GOBIERNO REGIONAL,495,RIO NEGRO,JUNIN,SATIPO,RIO NEGRO,I-3,-74.65857274,-11.20902393,07:00 AM – 07:00 PM,Dirección del EESS,935397947,96,96,96
GOBIERNO REGIONAL,517,VALLE ESMERALDA,JUNIN,SATIPO,RIO TAMBO,I-3,-74.07993581,-12.12959068,07:00 AM – 07:00 PM,Dirección del EESS,935397948,97,97,97
GOBIERNO REGIONAL,519,DE APOYO JUNIN,JUNIN,JUNIN,JUNIN,II-1,-75.99831121,-11.15840599,07:00 AM – 07:00 PM,Dirección del EESS,935397949,98,98,98
GOBIERNO REGIONAL,520,DE APOYO FELIX MAYORCA SOTO,JUNIN,TARMA,TARMA,II-2,-75.69261968,-11.42508388,07:00 AM – 07:00 PM,Dirección del EESS,935397950,99,99,99
GOBIERNO REGIONAL,521,ACOBAMBA,JUNIN,TARMA,ACOBAMBA,I-4,-75.66359818,-11.35409117,07:00 AM – 07:00 PM,Dirección del EESS,935397951,100,100,100
GOBIERNO REGIONAL,527,C.S. PALCAMAYO,JUNIN,TARMA,PALCAMAYO,I-3,-75.77033401,-11.29741073,07:00 AM – 07:00 PM,Dirección del EESS,935397952,101,101,101
GOBIERNO REGIONAL,534,SAN PEDRO DE CAJAS,JUNIN,TARMA,SAN PEDRO DE CAJAS,I-3,-75.86061716,-11.24741971,07:00 AM – 07:00 PM,Dirección del EESS,935397953,102,102,102
GOBIERNO REGIONAL,537,CARHUAMAYO,JUNIN,JUNIN,CARHUAMAYO,I-3,-76.06391667,-10.92531,07:00 AM – 07:00 PM,Dirección del EESS,935397954,103,103,103
GOBIERNO REGIONAL,542,HUASAHUASI,JUNIN,TARMA,HUASAHUASI,I-4,-75.64738585,-11.26602291,07:00 AM – 07:00 PM,Dirección del EESS,935397955,104,104,104
GOBIERNO REGIONAL,551,ONDORES,JUNIN,JUNIN,ONDORES,I-3,-76.14909561,-11.09163242,07:00 AM – 07:00 PM,Dirección del EESS,935397956,105,105,105
GOBIERNO REGIONAL,559,LA OROYA,JUNIN,YAULI,LA OROYA,I-4,-75.90646915,-11.52207533,07:00 AM – 07:00 PM,Dirección del EESS,935397957,106,106,106
GOBIERNO REGIONAL,563,MOROCOCHA,JUNIN,YAULI,MOROCOCHA,I-3,-76.06266939,-11.58751507,07:00 AM – 07:00 PM,Dirección del EESS,935397958,107,107,107
GOBIERNO REGIONAL,566,SANTA ROSA DE SACCO,JUNIN,YAULI,SANTA ROSA DE SACCO,I-3,-75.94348941,-11.55157263,07:00 AM – 07:00 PM,Dirección del EESS,935397959,108,108,108
GOBIERNO REGIONAL,569,PALCA,JUNIN,TARMA,PALCA,I-3,-75.57127679,-11.34601943,07:00 AM – 07:00 PM,Dirección del EESS,935397960,109,109,109
GOBIERNO REGIONAL,601,ULCUMAYO,JUNIN,JUNIN,ULCUMAYO,I-3,-75.88265167,-10.96752333,07:00 AM – 07:00 PM,Dirección del EESS,935397961,110,110,110
GOBIERNO REGIONAL,608,CHILCA,JUNIN,HUANCAYO,CHILCA,I-4,-75.20297417,-12.0906394,07:00 AM – 07:00 PM,Dirección del EESS,935397962,111,111,111
GOBIERNO REGIONAL,610,AUQUIMARCA,JUNIN,HUANCAYO,CHILCA,I-3,-75.217569,-12.09301241,07:00 AM – 07:00 PM,Dirección del EESS,935397963,112,112,112
GOBIERNO REGIONAL,620,HUANCAN,JUNIN,HUANCAYO,HUANCAN,I-3,-75.21422322,-12.1062638,07:00 AM – 07:00 PM,Dirección del EESS,935397964,113,113,113
GOBIERNO REGIONAL,622,HUAYUCACHI,JUNIN,HUANCAYO,HUAYUCACHI,I-3,-75.22432523,-12.14005209,07:00 AM – 07:00 PM,Dirección del EESS,935397965,114,114,114
GOBIERNO REGIONAL,624,PUCARA,JUNIN,HUANCAYO,PUCARA,I-3,-75.14352537,-12.17262238,07:00 AM – 07:00 PM,Dirección del EESS,935397966,115,115,115
GOBIERNO REGIONAL,629,SAPALLANGA,JUNIN,HUANCAYO,SAPALLANGA,I-3,-75.15826995,-12.13947696,07:00 AM – 07:00 PM,Dirección del EESS,935397967,116,116,116
GOBIERNO REGIONAL,641,SAN JOSE DE QUERO,JUNIN,CONCEPCION,SAN JOSE DE QUERO,I-3,-75.53677995,-12.08556488,07:00 AM – 07:00 PM,Dirección del EESS,935397968,117,117,117
GOBIERNO REGIONAL,642,CHAQUICOCHA,JUNIN,CONCEPCION,SAN JOSE DE QUERO,I-2,-75.51178176,-12.03564639,07:00 AM – 07:00 PM,Dirección del EESS,935397969,118,118,118
GOBIERNO REGIONAL,646,PEDRO SANCHEZ MEZA - CHUPACA,JUNIN,CHUPACA,CHUPACA,I-4,-75.28830102,-12.06398828,07:00 AM – 07:00 PM,Dirección del EESS,935397970,119,119,119
GOBIERNO REGIONAL,649,CHONGOS BAJO,JUNIN,CHUPACA,CHONGOS BAJO,I-3,-75.27129466,-12.13238974,07:00 AM – 07:00 PM,Dirección del EESS,935397971,120,120,120
GOBIERNO REGIONAL,651,HUACHAC,JUNIN,CHUPACA,HUACHAC,I-3,-75.34340602,-12.02220584,07:00 AM – 07:00 PM,Dirección del EESS,935397972,121,121,121
GOBIERNO REGIONAL,659,SAN JUAN DE JARPA,JUNIN,CHUPACA,SAN JUAN DE JARPA,I-3,-75.43458239,-12.12737999,07:00 AM – 07:00 PM,Dirección del EESS,935397973,122,122,122
GOBIERNO REGIONAL,666,SANTO DOMINGO DE ACOBAMBA,JUNIN,HUANCAYO,SANTO DOMINGO DE ACOBAMBA,I-3,-74.79543614,-11.76832346,07:00 AM – 07:00 PM,Dirección del EESS,935397974,123,123,123
GOBIERNO REGIONAL,671,DAVID GUERRERO DUARTE,JUNIN,CONCEPCION,CONCEPCION,I-4,-75.31124063,-11.92220884,07:00 AM – 07:00 PM,Dirección del EESS,935397975,124,124,124
GOBIERNO REGIONAL,678,COMAS,JUNIN,CONCEPCION,COMAS,I-3,-75.08273286,-11.72268339,07:00 AM – 07:00 PM,Dirección del EESS,935397976,125,125,125
GOBIERNO REGIONAL,687,MATAHUASI,JUNIN,CONCEPCION,MATAHUASI,I-3,-75.34683747,-11.89289675,07:00 AM – 07:00 PM,Dirección del EESS,935397977,126,126,126
GOBIERNO REGIONAL,690,NUEVE DE JULIO,JUNIN,CONCEPCION,NUEVE DE JULIO,I-1,-75.31960212,-11.89467967,07:00 AM – 07:00 PM,Dirección del EESS,935397978,127,127,127
GOBIERNO REGIONAL,691,SANTA ROSA DE OCOPA,JUNIN,CONCEPCION,SANTA ROSA DE OCOPA,I-3,-75.29656868,-11.87886954,07:00 AM – 07:00 PM,Dirección del EESS,935397979,128,128,128
GOBIERNO REGIONAL,700,CHONGOS ALTO,JUNIN,HUANCAYO,CHONGOS ALTO,I-3,-75.29295866,-12.30741534,07:00 AM – 07:00 PM,Dirección del EESS,935397980,129,129,129
GOBIERNO REGIONAL,705,JUSTICIA PAZ Y VIDA,JUNIN,HUANCAYO,EL TAMBO,I-4,-75.23372274,-12.06084184,07:00 AM – 07:00 PM,Dirección del EESS,935397981,130,130,130
GOBIERNO REGIONAL,707,SAN MARTIN,JUNIN,HUANCAYO,EL TAMBO,I-3,-75.21845727,-12.02477331,07:00 AM – 07:00 PM,Dirección del EESS,935397982,131,131,131
GOBIERNO REGIONAL,714,JUAN PARRA DEL RIEGO,JUNIN,HUANCAYO,EL TAMBO,I-3,-75.21516966,-12.04690297,07:00 AM – 07:00 PM,Dirección del EESS,935397983,132,132,132
GOBIERNO REGIONAL,719,PILCOMAYO,JUNIN,HUANCAYO,PILCOMAYO,I-3,-75.25427493,-12.05607954,07:00 AM – 07:00 PM,Dirección del EESS,935397984,133,133,133
